sku,brand,name,category,form_factor,key_specs,supplier_price_kes,retail_price_kes,price_basis,notes
DS-2CD1027G2H-LIU,Hikvision,2MP ColorVu Smart Hybrid Light Fixed Bullet Network Camera,IP Camera,Bullet,2MP; 4mm; 24/7 colour; Smart Hybrid Light; human & vehicle detection; built-in mic; IP67,6000,8400,distributor+40%,Entry IP bullet
DS-2CD1127G3-LIU,Hikvision,2MP ColorVu 3.0 Fixed Dome Network Camera,IP Camera,Dome,2MP; ColorVu 3.0; Motion Detection 3.0; Smart Hybrid Light; IP67; IK08 vandal resistant,6600,9200,distributor+40%,Indoor/outdoor vandal dome
DS-2CD1043G2-LIUF/SL,Hikvision,4MP Smart Hybrid Light Fixed Bullet Network Camera,IP Camera,Bullet,4MP; 30m; Smart Hybrid Light; human & vehicle detection; two-way audio; IP67; SD to 512GB,8500,11900,distributor+40%,Workhorse 4MP bullet - core of most IP packages
DS-2CD1047G3-LIU,Hikvision,4MP ColorVu 3.0 Fixed Bullet Network Camera,IP Camera,Bullet,4MP; ColorVu 3.0; Motion Detection 3.0; Smart Hybrid Light; IP67,8800,12300,distributor+40%,
DS-2CD1147G3-LIU,Hikvision,4MP ColorVu 3.0 Fixed Dome Network Camera,IP Camera,Dome,4MP; ColorVu 3.0; Motion Detection 3.0; Smart Hybrid Light; IP67,8800,12300,distributor+40%,
DS-2CD1047G2H-LIUF/SRB,Hikvision,4MP ColorVu Strobe Light & Audio Alarm Fixed Bullet Network Camera,IP Camera,Bullet,4MP; 30m; 24/7 colour; person & vehicle detection; two-way audio; strobe alarm; H.265+; IP67; SD to 512GB,9600,13400,distributor+40%,Active deterrence - 30m
DS-2CD1067G3-LIU,Hikvision,6MP ColorVu 3.0 Fixed Bullet Network Camera,IP Camera,Bullet,6MP; ColorVu 3.0; Motion Detection 3.0; Smart Hybrid Light; IP67,9800,13700,distributor+40%,Supplier caption misprinted 2MP - boxes read 6MP
DS-2CD1T47G2H-LIUF/SRB,Hikvision,4MP ColorVu Strobe Light & Audio Alarm Fixed Bullet Network Camera 50m,IP Camera,Bullet,4MP; 50m; Smart Hybrid Light; 24/7 colour; two-way audio; strobe light alarm; IP67; SD to 512GB,12200,17100,distributor+40%,Active deterrence - 50m
DS-2CD1083G2-LIU,Hikvision,8MP Smart Hybrid Light Fixed Bullet Network Camera,IP Camera,Bullet,8MP; 4mm; human & vehicle detection; Smart Hybrid Light; built-in mic; IP67,13800,19300,distributor+40%,Two supplier quotes 13400/13800 - using higher
DS-2CD1T83G2-LIUF/SL,Hikvision,8MP Smart Hybrid Light Fixed Bullet Network Camera 50m,IP Camera,Bullet,8MP; 50m; Smart Hybrid Light; human & vehicle detection; two-way audio; IP67; SD to 512GB,14500,20300,distributor+40%,
DS-2CD1T47G3-LIUF/LSRB,Hikvision,4MP ColorVu 3.0 SoundMax Strobe & Audio Alarm Bullet Network Camera,IP Camera,Bullet,4MP; ColorVu 3.0; SoundMax louder alarm; Motion Detection 3.0; strobe & audio alarm; two-way audio; IP67; SD to 512GB,15000,21000,distributor+40%,Loudest deterrence option
